levelCode,levelName,description,regiones_afectadas,enlaces,frase,prompt
2,moderada,"Se reporta lluvias intensas en la zona de Costa norte, Sierra. Esto podría causar aumento del caudal de ríos, huaicos, deslizamientos, inundaciones. Se recomienda tomar precauciones.","Costa norte, Sierra","['https://www.essalud.gob.pe/heladas/recomendaciones', 'https://www.senamhi.gob.pe/Lima/vientos']",cómo protegerse de lluvias intensas,"Genera recomendaciones para la población sobre 'cómo protegerse de lluvias intensas' considerando que se reporta lluvias intensas en la zona de costa norte, sierra. esto podría causar aumento del caudal de ríos, huaicos, deslizamientos, inundaciones. se recomienda tomar precauciones."
3,fuerte,Se reporta nevadas en la zona de zonas altoandinas. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.,zonas altoandinas,['https://www.indeci.gob.pe/alertas'],qué hacer ante nevadas,Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de zonas altoandinas. esto podría causar afectación a cultivos. se recomienda tomar precauciones.
3,fuerte,"Se reporta heladas en la zona de Sierra sur. Esto podría causar afectación a cultivos, problemas respiratorios. Se recomienda tomar precauciones.",Sierra sur,"['https://www.indeci.gob.pe/alertas', 'https://www.essalud.gob.pe/heladas/recomendaciones']",cómo enfrentar las heladas,"Genera recomendaciones para la población sobre 'cómo enfrentar las heladas' considerando que se reporta heladas en la zona de sierra sur. esto podría causar afectación a cultivos, problemas respiratorios. se recomienda tomar precauciones."
3,fuerte,"Se reporta ola de calor en la zona de Selva. Esto podría causar sobrecarga energética, afectaciones a la salud. Se recomienda tomar precauciones.",Selva,"['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.indeci.gob.pe/alertas']",cómo cuidarse en una ola de calor,"Genera recomendaciones para la población sobre 'cómo cuidarse en una ola de calor' considerando que se reporta ola de calor en la zona de selva. esto podría causar sobrecarga energética, afectaciones a la salud. se recomienda tomar precauciones."
4,extrema,"Se reporta incendios forestales en la zona de zonas agrícolas, Selva, Sierra sur. Esto podría causar emisiones de gases. Se recomienda tomar precauciones.","zonas agrícolas, Selva, Sierra sur",['https://www.essalud.gob.pe/heladas/recomendaciones'],prevención de incendios forestales,"Genera recomendaciones para la población sobre 'prevención de incendios forestales' considerando que se reporta incendios forestales en la zona de zonas agrícolas, selva, sierra sur. esto podría causar emisiones de gases. se recomienda tomar precauciones."
4,extrema,Se reporta heladas en la zona de Sierra central. Esto podría causar afectación a cultivos. Se recomienda tomar precauciones.,Sierra central,"['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.essalud.gob.pe/heladas/recomendaciones']",cómo enfrentar las heladas,Genera recomendaciones para la población sobre 'cómo enfrentar las heladas' considerando que se reporta heladas en la zona de sierra central. esto podría causar afectación a cultivos. se recomienda tomar precauciones.
3,fuerte,"Se reporta tormentas eléctricas en la zona de Selva, Sierra oriental. Esto podría causar daños eléctricos. Se recomienda tomar precauciones.","Selva, Sierra oriental","['https://www.senamhi.gob.pe/Lima/vientos', 'https://www.gob.pe/temas/gestion-del-riesgo']",cómo actuar ante tormentas eléctricas,"Genera recomendaciones para la población sobre 'cómo actuar ante tormentas eléctricas' considerando que se reporta tormentas eléctricas en la zona de selva, sierra oriental. esto podría causar daños eléctricos. se recomienda tomar precauciones."
4,extrema,"Se reporta oleajes anómalos en la zona de Costa sur, Costa central, Costa norte. Esto podría causar erosión de playas. Se recomienda tomar precauciones.","Costa sur, Costa central, Costa norte",['https://www.senamhi.gob.pe/Lima/vientos'],alerta por oleajes,"Genera recomendaciones para la población sobre 'alerta por oleajes' considerando que se reporta oleajes anómalos en la zona de costa sur, costa central, costa norte. esto podría causar erosión de playas. se recomienda tomar precauciones."
3,fuerte,"Se reporta nevadas en la zona de Sierra sur, zonas altoandinas. Esto podría causar afectación a cultivos, aislamiento de comunidades. Se recomienda tomar precauciones.","Sierra sur, zonas altoandinas","['https://www.gob.pe/temas/gestion-del-riesgo', 'https://www.indeci.gob.pe/alertas']",qué hacer ante nevadas,"Genera recomendaciones para la población sobre 'qué hacer ante nevadas' considerando que se reporta nevadas en la zona de sierra sur, zonas altoandinas. esto podría causar afectación a cultivos, aislamiento de comunidades. se recomienda tomar precauciones."
2,moderada,"Se reporta torbellinos en la zona de Piura, Tumbes. Esto podría causar daños materiales. Se recomienda tomar precauciones.","Piura, Tumbes","['https://www.indeci.gob.pe/alertas', 'https://www.essalud.gob.pe/heladas/recomendaciones']",qué hacer ante un torbellino,"Genera recomendaciones para la población sobre 'qué hacer ante un torbellino' considerando que se reporta torbellinos en la zona de piura, tumbes. esto podría causar daños materiales. se recomienda tomar precauciones."
