intent,mensaje,enlaces,frases
obtener_pronostico,"¿Cómo estará el clima hoy?",["https://www.senamhi.gob.pe/"],["clima actual";"pronóstico diario";"condiciones atmosféricas"]
alertas_meteorologicas,"¿Hay alguna alerta por lluvias intensas en Perú?",["https://www.senamhi.gob.pe/";"https://www.coen.gob.pe/"],["alerta meteorológica";"lluvias fuertes";"eventos extremos"]
plan_emergencia,"¿Qué debo tener en una mochila de emergencia según INDECI?",["https://www.indeci.gob.pe/preparados/mochila/";"https://www.gob.pe/indeci"],["mochila de emergencia";"medidas preventivas";"artículos esenciales"]
reportar_evento,"Acaba de haber un deslizamiento cerca del río. ¿A quién debo reportarlo?",["https://www.indeci.gob.pe/";"https://www.gob.pe/119"],["reportar emergencia";"deslizamiento";"contacto oficial"]
refugios_cercanos,"¿Dónde puedo ir si tengo que evacuar por inundación?",["https://www.defensacivil.gob.pe/";"https://www.gob.pe/indeci"],["refugio temporal";"zona segura";"evacuación"]
rutas_evacuacion,"¿Qué rutas de evacuación debo seguir si ocurre un huaico en mi zona?",["https://www.gob.pe/indeci";"https://www.coen.gob.pe/"],["rutas de evacuación";"zonas seguras";"huaico"]
simulacro_fecha,"¿Cuándo es el próximo simulacro nacional de sismo?",["https://www.gob.pe/indeci/calendario";"https://www.defensacivil.gob.pe/"],["simulacro nacional";"preparación sísmica";"defensa civil"]
explicar_tipo_desastre,"¿Qué es un huaico y cómo puedo protegerme?",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["huaico";"fenómeno natural";"prevención"]
recomendar_medidas,"Hay fuertes vientos esta semana, ¿qué puedo hacer para proteger mi casa?",["https://www.gob.pe/indeci";"https://www.senamhi.gob.pe/"],["vientos intensos";"recomendaciones";"protección"]
calidad_del_aire,"¿La calidad del aire es segura para salir hoy en Perú?",["https://www.senamhi.gob.pe/";"https://www.minsa.gob.pe/"],["calidad del aire";"índice de contaminación";"prevención respiratoria"]
ayuda,"No sé qué tipo de alerta hay ni cómo actuar.",["https://www.gob.pe/indeci/alertas";"https://www.gob.pe/indeci/preparados"],["ayuda ante emergencias";"protocolo";"qué hacer"]
lenguaje_inapropiado,"Este bot no sirve para nada, es una m****",["https://www.gob.pe/convivencia-escolar";"https://www.gob.pe/minedu"],["corrección de lenguaje";"uso respetuoso";"vocabulario adecuado"]
obtener_pronostico,"Dime si va a llover mañana o salgo sin paraguas",["https://www.senamhi.gob.pe/"],["pronóstico de lluvia";"previsión del clima";"ropa adecuada"]
